Todos os Resultados da Mega Sena na ordem do sorteio | Rede Loteria,,,,,,,,,,
Conc.,Data,,,,,,,Gan.,Prêmio,Apostas
2512,20/08/2022,47,52,10,49,34,07,0,,"9,687,733"
2511,17/08/2022,49,39,04,15,41,10,0,,"6,677,512"
2510,13/08/2022,25,32,13,57,08,44,4,"6,670,155.67","13,821,556"
2509,10/08/2022,50,08,37,59,39,60,0,,"8,873,573"
2508,06/08/2022,51,45,41,53,58,48,0,,"7,188,085"
2507,04/08/2022,04,34,06,35,12,53,1,"5,543,989.92","6,913,747"
2506,02/08/2022,21,44,40,34,22,29,0,,"4,686,166"
2505,30/07/2022,43,26,05,51,03,19,1,"24,271,229.51","13,609,356"
2504,27/07/2022,42,14,41,55,44,33,0,,"7,045,666"
2503,23/07/2022,45,43,14,16,38,03,1,"13,748,083.57","11,507,255"
2502,20/07/2022,39,21,16,44,20,55,0,,"9,099,394"
2501,16/07/2022,58,32,11,27,59,40,0,,"8,159,019"
2500,13/07/2022,32,55,25,16,05,39,1,"27,485,274.00","12,120,605"
2499,09/07/2022,38,11,56,59,47,19,0,,"8,576,139"
2498,06/07/2022,26,47,09,29,46,12,1,"51,830,706.79","17,344,107"
2497,02/07/2022,14,05,48,52,46,23,0,,"14,372,459"
2496,30/06/2022,46,31,26,58,38,07,0,,"10,478,249"
2495,28/06/2022,33,41,08,12,30,14,0,,"7,793,273"
2494,25/06/2022,22,01,54,04,10,53,1,"78,763,087.85","21,736,130"
2493,22/06/2022,44,04,56,09,37,43,0,,"19,768,443"
2492,18/06/2022,33,10,52,31,42,30,0,,"17,946,518"
2491,15/06/2022,53,48,29,43,38,22,0,,"17,147,241"
2490,11/06/2022,11,16,41,17,46,59,0,,"16,405,233"
2489,08/06/2022,13,10,41,25,42,03,0,,"10,311,027"
2488,04/06/2022,40,34,57,31,17,56,0,,"8,247,329"
2487,02/06/2022,54,42,48,36,23,58,1,"3,681,934.22","7,703,859"
2486,31/05/2022,19,08,09,33,17,56,1,"117,557,270.98","24,819,561"
2485,28/05/2022,60,12,38,47,05,32,0,,"33,613,856"
2484,25/05/2022,59,36,41,54,14,11,0,,"20,995,967"
2483,21/05/2022,54,49,34,38,40,20,0,,"20,682,617"
2482,18/05/2022,32,01,57,44,35,45,0,,"16,543,004"
2481,14/05/2022,01,37,36,21,08,27,0,,"17,228,181"
2480,11/05/2022,31,56,06,04,50,09,0,,"13,221,674"
2479,07/05/2022,21,10,35,20,17,15,1,"4,456,908.10","9,325,368"
2478,04/05/2022,02,23,28,46,17,39,1,"58,922,844.33","20,463,544"
2477,30/04/2022,20,49,33,37,50,38,0,,"16,500,022"
2476,28/04/2022,46,49,02,55,07,32,0,,"12,096,831"
2475,26/04/2022,60,45,01,44,58,40,0,,"9,561,264"
2474,23/04/2022,38,30,22,49,56,39,0,,"9,648,820"
2473,20/04/2022,55,15,28,60,42,18,0,,"7,795,512"
2472,16/04/2022,18,05,13,23,36,35,1,"66,733,761.74","19,410,051"
2471,13/04/2022,30,08,23,29,55,36,0,,"19,351,389"
2470,09/04/2022,51,08,48,42,33,40,0,,"17,857,372"
